run_id,sample,platform,reference,aligner,aligner_version,caller,tool_version,hardware,parabricks_version,target_depth_x,mean_target_depth_x,seed,benchmark_tool,benchmark_tool_version,giab_version,target_bed,happy_prefix,run_date
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,150,200.5,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,20,28.84,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,20,28.84,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,20,28.84,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.20x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,200,259.94,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s42,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,200,259.94,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s43,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,200,260.0,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s44,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,25,35.94,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,25,35.94,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,25,35.95,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.25x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,30,43.0,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,30,43.0,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,30,43.01,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,300,369.6,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s42,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,300,369.59,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s43,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,300,369.66,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s44,2026-08-01
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,40,57.0,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,40,57.0,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,40,57.0,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.40x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,400,468.34,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s42,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,400,468.33,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s43,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,400,468.39,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s44,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,5,7.27,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,5,7.28,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s43,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,5,7.27,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.5x.s44,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,50,70.82,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,50,70.82,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,50,70.82,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.50x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,60,84.47,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,60,84.48,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,60,84.48,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.60x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,75,104.66,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,75,104.66,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,75,104.67,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.75x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,8,11.61,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,8,11.62,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s43,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,8,11.62,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.8x.s44,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.full.s0,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,full,741.72,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.full.s0,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,10,14.5,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,10,14.52,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s43,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,10,14.51,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s44,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,100,137.5,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,100,137.53,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s43,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,100,137.55,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s44,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,12,17.39,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,12,17.4,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s43,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,12,17.39,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s44,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,15,21.69,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,15,21.7,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s43,2026-07-16
